,TCGA.AB.2856.03A,TCGA.AB.2849.03A,TCGA.AB.2971.03A,TCGA.AB.2930.03A,TCGA.AB.2891.03A,TCGA.AB.2872.03A,TCGA.AB.2851.03A,TCGA.AB.3011.03A,TCGA.AB.2949.03B
ENSG00000011523.12,1630,3261,1920,3494,2031,2135,1711,2047,4075
ENSG00000011566.13,402,2031,1171,953,735,720,519,1356,1661
ENSG00000011590.12,80,117,79,156,71,120,81,153,54
ENSG00000011600.10,8429,160,4398,3422,1089,3548,11701,1472,4734
ENSG00000011638.9,592,860,283,474,192,190,330,316,862
ENSG00000011677.11,0,2,0,0,0,3,1,0,0
ENSG00000012048.18,1465,4642,1608,3939,3502,2053,786,2209,1882
ENSG00000012061.14,3505,786,1227,3929,1817,1416,2126,1624,2579
ENSG00000012124.13,370,299,290,656,150,528,859,500,479
ENSG00000012171.16,9,87,36,36,168,113,55,196,38
ENSG00000012174.10,389,1200,571,1093,718,512,604,586,845
ENSG00000012211.11,829,295,220,840,300,324,753,352,401
ENSG00000012223.11,23,836,7,938,16,20,22,19,1522
ENSG00000012232.7,1310,1533,1221,1706,1472,795,1747,1060,1277
ENSG00000012504.12,0,0,0,0,0,0,0,1,0
ENSG00000012660.12,2834,7381,1960,3344,3572,790,2533,1082,4453
ENSG00000012779.9,1722,369,1828,1910,5761,1026,6445,242,1157
ENSG00000012817.14,4403,6771,1,2,6705,9981,5,2,8240
ENSG00000012822.14,3925,4285,3227,4696,2720,3057,3949,2759,4589
ENSG00000012963.12,1528,2443,872,2450,2096,989,899,1213,2049
ENSG00000012983.10,1000,5384,2098,2859,1065,2090,1400,2446,3834
ENSG00000013016.13,1180,299,419,1828,438,159,460,429,1593
ENSG00000013275.6,2065,613,893,2043,1585,832,1673,918,1438
ENSG00000013288.7,3670,2046,2057,3332,2893,2344,4835,2840,2421
ENSG00000013293.5,1,8,2,1,2,3,0,1,0
ENSG00000013297.9,3,9,9,2,6,24,6,3,1
ENSG00000013306.14,3907,3250,1213,3646,2156,2404,1916,1506,1740
ENSG00000013364.17,4574,539,3308,2408,2131,1221,8047,1428,2570
ENSG00000013374.14,2787,2603,2002,3488,2288,1335,2637,1313,2851
ENSG00000013375.14,440,823,690,1059,470,910,503,443,839
ENSG00000013392.7,65,140,70,105,37,101,51,21,100
ENSG00000013441.14,2584,8244,7720,6694,6797,6731,6504,8250,12993
ENSG00000013503.8,351,275,480,476,576,282,269,325,328
ENSG00000013523.8,2120,2143,1204,2783,1092,842,1393,729,1602
ENSG00000013561.16,604,940,525,952,900,591,852,344,905
ENSG00000013563.12,1533,235,520,916,948,433,1366,352,1080
ENSG00000013573.15,1663,1004,1804,4017,1212,1207,1430,1757,2089
ENSG00000013583.7,849,897,448,838,368,559,890,432,1687
ENSG00000013588.5,3,12,1,5,8,7,4,3,12
ENSG00000013619.12,17,1299,33,31,164,32,16,23,78
ENSG00000013725.13,468,1646,968,259,436,200,378,330,423
ENSG00000013810.17,6163,3277,2540,6953,6288,5206,5464,4435,6572
ENSG00000014123.9,704,2008,1428,2112,1764,1272,1264,849,1742
ENSG00000014138.7,2133,1948,1315,2995,2271,1034,1406,1831,1619
ENSG00000014164.6,3649,599,1100,3072,1141,2813,1489,1530,1688
ENSG00000014216.14,12999,2998,4423,8098,6711,4344,10202,4100,5023
ENSG00000014257.14,403,78,753,411,985,135,1226,282,133
ENSG00000014641.16,3484,2058,1366,4627,2707,1387,2000,1360,3256
ENSG00000014824.12,1464,2777,1471,2409,1607,1336,1580,1393,2748
ENSG00000014914.18,609,23,260,183,82,14,669,16,209
ENSG00000014919.11,2055,2239,1325,2800,1889,1330,1569,1189,1940
